issue_key,bertopic_topic
YARN-1871,-1
YARN-1864,0
YARN-1858,-1
YARN-1857,0
YARN-1856,-1
YARN-1838,1
YARN-1815,-1
YARN-1809,1
YARN-1808,-1
YARN-1804,-1
YARN-1799,-1
YARN-1769,0
YARN-1766,-1
YARN-1755,6
YARN-1743,1
YARN-1732,-1
YARN-1730,1
YARN-1727,1
YARN-1717,1
YARN-1714,0
YARN-1712,-1
YARN-1710,0
YARN-1709,-1
YARN-1708,0
YARN-1707,0
YARN-1695,6
YARN-1639,1
YARN-1659,1
YARN-1655,-1
YARN-1654,0
YARN-1651,-1
YARN-1645,-1
YARN-1621,4
YARN-1620,4
YARN-1609,-1
YARN-1520,0
YARN-1593,0
YARN-1589,0
YARN-1585,-1
YARN-1584,1
YARN-1582,0
YARN-1564,6
YARN-1558,0
YARN-1543,0
YARN-1538,6
YARN-1530,6
YARN-1512,9
YARN-1510,-1
YARN-1509,-1
YARN-1503,-1
YARN-1498,0
YARN-1495,0
YARN-1493,0
YARN-1492,2
YARN-1490,7
YARN-1489,7
YARN-1488,0
YARN-1462,-1
YARN-1461,-1
YARN-1436,-1
YARN-1448,-1
YARN-1440,5
YARN-1421,7
YARN-1404,0
YARN-1394,-1
YARN-1392,0
YARN-1390,6
YARN-1389,-1
YARN-1380,-1
YARN-1378,-1
YARN-1372,7
YARN-1371,-1
YARN-1370,-1
YARN-1369,-1
YARN-1368,7
YARN-1367,7
YARN-1366,-1
YARN-1362,7
YARN-1360,0
YARN-1355,7
YARN-1354,7
YARN-1338,7
YARN-1337,7
YARN-1336,7
YARN-1324,-1
YARN-1318,6
YARN-1317,0
YARN-1292,7
YARN-1290,0
YARN-1276,7
YARN-1253,2
YARN-1250,1
YARN-1249,0
YARN-1228,0
YARN-1210,7
YARN-1200,0
YARN-1197,0
YARN-1187,0
YARN-1186,0
YARN-1177,1
YARN-1155,-1
YARN-1151,5
YARN-1133,-1
YARN-1098,-1
YARN-1127,0
YARN-1125,-1
YARN-1124,4
YARN-1117,-1
YARN-1115,0
YARN-1105,-1
YARN-1104,5
YARN-1089,0
YARN-1080,5
YARN-1067,9
YARN-1065,7
YARN-1063,2
YARN-1062,-1
YARN-1052,0
YARN-1051,0
YARN-1041,7
YARN-1040,0
YARN-1037,-1
YARN-1033,-1
YARN-1029,-1
YARN-1028,1
YARN-1027,6
YARN-1024,0
YARN-1023,-1
YARN-1010,-1
YARN-1021,0
YARN-1020,2
YARN-1019,4
YARN-1016,5
YARN-1015,9
YARN-1014,-1
YARN-1013,9
YARN-1011,0
YARN-1001,0
YARN-1000,-1
YARN-997,-1
YARN-986,4
YARN-977,0
YARN-975,1
YARN-972,0
YARN-896,-1
YARN-958,9
YARN-957,-1
YARN-953,-1
YARN-951,-1
YARN-950,5
YARN-926,-1
YARN-925,1
YARN-941,-1
YARN-921,-1
YARN-914,-1
YARN-913,6
YARN-911,5
YARN-910,-1
YARN-904,6
YARN-875,-1
YARN-867,7
YARN-851,2
YARN-824,-1
YARN-813,-1
YARN-810,-1
YARN-801,-1
YARN-781,-1
YARN-789,0
YARN-785,-1
YARN-779,0
YARN-771,-1
YARN-747,0
YARN-740,-1
YARN-732,2
YARN-717,-1
YARN-714,7
YARN-710,-1
YARN-707,-1
YARN-696,-1
YARN-694,-1
YARN-693,-1
YARN-692,9
YARN-682,-1
YARN-679,4
YARN-672,-1
YARN-671,7
YARN-668,-1
YARN-666,4
YARN-641,4
YARN-624,0
YARN-616,0
YARN-613,7
YARN-611,4
YARN-608,-1
YARN-600,-1
YARN-599,-1
YARN-596,0
YARN-595,0
YARN-589,0
YARN-582,7
YARN-571,-1
YARN-569,0
YARN-568,0
YARN-567,0
YARN-563,-1
YARN-561,7
YARN-559,-1
YARN-558,-1
YARN-556,-1
YARN-549,-1
YARN-528,-1
YARN-521,4
YARN-514,-1
YARN-513,-1
YARN-506,2
YARN-494,7
YARN-482,0
YARN-479,9
YARN-471,-1
YARN-462,-1
YARN-453,0
YARN-445,-1
YARN-443,0
YARN-438,7
YARN-431,5
YARN-430,-1
YARN-424,0
YARN-423,0
YARN-421,-1
YARN-420,7
YARN-336,0
YARN-419,-1
YARN-418,6
YARN-417,9
YARN-415,-1
YARN-405,0
YARN-393,0
YARN-386,4
YARN-378,-1
YARN-373,-1
YARN-371,0
YARN-366,1
YARN-358,-1
YARN-333,0
YARN-327,0
YARN-326,0
YARN-321,-1
YARN-314,0
YARN-311,-1
YARN-309,9
YARN-304,-1
YARN-291,0
YARN-286,6
YARN-285,-1
YARN-279,-1
YARN-276,0
YARN-273,-1
YARN-265,0
YARN-261,-1
YARN-257,-1
YARN-256,-1
YARN-250,0
YARN-247,0
YARN-238,-1
YARN-232,-1
YARN-231,-1
YARN-230,4
YARN-222,0
YARN-197,5
YARN-196,7
YARN-195,-1
YARN-191,2
YARN-160,0
YARN-153,6
YARN-149,-1
YARN-128,-1
YARN-125,4
YARN-120,4
YARN-119,-1
YARN-118,-1
YARN-117,-1
YARN-111,0
YARN-103,4
YARN-91,-1
YARN-90,-1
YARN-80,0
YARN-78,4
YARN-74,7
YARN-73,7
YARN-72,7
YARN-60,-1
YARN-45,0
YARN-41,7
YARN-40,4
YARN-39,-1
YARN-34,4
YARN-29,4
YARN-19,0
YARN-18,0
YARN-3,2
YARN-1,2
YARN-530,6
YARN-221,5
YARN-3657,3
YARN-3658,3
YARN-4858,4
YARN-6667,-1
YARN-6476,-1
YARN-5764,0
YARN-6483,-1
YARN-5864,0
YARN-5871,8
YARN-6740,3
YARN-7402,3
YARN-7403,0
YARN-8234,1
YARN-8118,-1
YARN-7834,0
YARN-7898,3
YARN-7899,-1
YARN-8972,3
YARN-9075,-1
YARN-9342,5
YARN-9869,0
YARN-9608,-1
YARN-8873,-1
YARN-8900,3
YARN-9834,2
YARN-9708,3
YARN-10174,3
YARN-10775,3
YARN-10306,5
YARN-10538,-1
YARN-10547,-1
YARN-10559,0
YARN-10638,0
YARN-10444,2
YARN-10680,-1
YARN-10886,0
YARN-10888,0
YARN-11057,-1
YARN-10965,0
YARN-11034,0
YARN-11015,0
YARN-11066,0
YARN-11104,0
YARN-11090,3
