issue_key,dominant_topic,dominant_topic_share,n_topics_present,topic_0_proportion,topic_1_proportion,topic_2_proportion
YARN-10505,1,0.590591382392811,2,0.40930226856964774,0.590591382392811,0.00010634903754126394
YARN-10496,0,0.9997895401452171,1,0.9997895401452171,0.00010522992739137956,0.00010522992739137956
YARN-10493,1,0.9983374896093095,1,0.0008312551953452704,0.9983374896093095,0.0008312551953452704
YARN-10478,0,0.5277691628435187,2,0.5277691628435187,0.4718608778520046,0.0003699593044766049
YARN-10473,2,0.8114466724262052,2,0.18792949725564131,0.0006238303181535553,0.8114466724262052
YARN-10449,0,0.4391825434230159,3,0.4391825434230159,0.26106266596823363,0.2997547906087504
YARN-10436,2,0.9994122832794591,1,0.00029385836027038945,0.00029385836027038945,0.9994122832794591
YARN-10433,2,0.7207922393916564,2,0.0001959631589262353,0.2790117974494173,0.7207922393916564
YARN-10432,2,0.6216004879231579,2,0.00023792529145860684,0.3781615867853834,0.6216004879231579
YARN-10431,1,0.6377887329594388,3,0.2100730289063123,0.6377887329594388,0.15213823813424898
YARN-10422,2,0.8720628586775265,1,0.027847034954963282,0.10009010636751017,0.8720628586775265
YARN-10421,2,0.5917379364220426,3,0.1660579100822291,0.2422041534957282,0.5917379364220426
YARN-10406,2,0.7978371109082855,2,0.00010985389432060034,0.20205303519739384,0.7978371109082855
YARN-10389,2,0.8511106029646102,1,0.14853263642176148,0.0003567606136283527,0.8511106029646102
YARN-10384,0,0.9994598973805022,1,0.9994598973805022,0.00027005130974891705,0.00027005130974891705
YARN-10376,0,0.54642806120528,2,0.54642806120528,0.0002854695974879741,0.45328646919723187
YARN-10375,0,0.5566386444381964,2,0.5566386444381964,0.00034447123665183246,0.4430168843251517
YARN-10374,0,0.8086991044977604,2,0.8086991044977604,0.00035676061362835534,0.19094413488861123
YARN-10370,0,0.7637130612025982,2,0.7637130612025982,0.0002498126405196963,0.23603712615688216
YARN-10043,2,0.6564916033619271,2,0.0011074197120714997,0.3424009769260014,0.6564916033619271
YARN-10352,0,0.9997184288328873,1,0.9997184288328873,0.00014078558355627236,0.00014078558355627236
YARN-10335,1,0.5510495115470059,2,0.44851627221330675,0.5510495115470059,0.0004342162396874426
YARN-10333,2,0.8915226534915531,1,0.00024981264051968446,0.10822753386792722,0.8915226534915531
YARN-10323,2,0.6627995400677996,2,0.00018508236165104186,0.3370153775705493,0.6627995400677996
YARN-10311,2,0.7032564572672625,2,0.0004992511233151121,0.2962442916094225,0.7032564572672625
YARN-10304,2,0.9994875736612859,1,0.0002562131693569854,0.0002562131693569854,0.9994875736612859
YARN-10292,2,0.7629056220857128,2,0.0005871990604819086,0.23650717885380537,0.7629056220857128
YARN-10281,2,0.5443896628073929,2,0.0005871990604819318,0.4550231381321252,0.5443896628073929
YARN-10276,2,0.9991677070328753,1,0.0004161464835623701,0.0004161464835623701,0.9991677070328753
YARN-10246,2,0.999167707032875,1,0.00041614648356247755,0.00041614648356247755,0.999167707032875
YARN-10238,0,0.6428007412329102,2,0.6428007412329102,0.00024372410431402474,0.35695553466277574
YARN-10229,2,0.7915052448705734,2,0.2083596747566047,0.0001350803728218643,0.7915052448705734
YARN-10216,2,0.9996228549877425,1,0.0001885725061286982,0.0001885725061286982,0.9996228549877425
YARN-10028,2,0.9360683164214932,1,0.000475511174512744,0.06345617240399398,0.9360683164214932
YARN-10214,0,0.9988256018790367,1,0.9988256018790367,0.0005871990604815777,0.0005871990604815777
YARN-10181,1,0.9983374896093096,1,0.0008312551953452554,0.9983374896093096,0.0008312551953452554
YARN-10162,0,0.5579781688975926,2,0.5579781688975926,0.0002938583602704285,0.44172797274213704
YARN-10126,0,0.9991677070328753,1,0.9991677070328753,0.0004161464835622754,0.0004161464835622754
YARN-10114,2,0.9991315675206248,1,0.0004342162396876012,0.0004342162396876012,0.9991315675206248
YARN-10101,2,0.8250199260936055,2,0.00043421623968742775,0.17454585766670705,0.8250199260936055
YARN-10100,0,0.5064574564041263,2,0.5064574564041263,0.0003567606136283718,0.4931857829822454
YARN-10099,0,0.8299071252534926,2,0.8299071252534926,9.343174810803074e-05,0.16999944299839917
YARN-10096,2,0.9960238568588458,1,0.0019880715705771416,0.0019880715705771416,0.9960238568588458
YARN-10094,1,0.42500169305490487,3,0.30404629206356765,0.42500169305490487,0.2709520148815276
YARN-10079,1,0.8154118204467671,2,0.18392284355855548,0.8154118204467671,0.0006653359946774281
YARN-10062,2,0.9990014977533698,1,0.0004992511233151218,0.0004992511233151218,0.9990014977533698
YARN-10039,0,0.6521461203952196,2,0.6521461203952196,0.0007674597083654566,0.347086419896415
YARN-10032,2,0.8465202281250804,2,0.0002562131693569868,0.15322355870556262,0.8465202281250804
YARN-10031,2,0.9993554624556877,1,0.00032226877215614546,0.00032226877215614546,0.9993554624556877
YARN-10022,2,0.9986693280106451,1,0.000665335994677448,0.000665335994677448,0.9986693280106451
