issue_key,dominant_topic,dominant_topic_share,n_topics_present,topic_0_proportion,topic_1_proportion,topic_2_proportion,topic_3_proportion,topic_4_proportion
YARN-3817,4,0.8199509717734016,2,0.00023228803716614872,0.00023228803716614872,0.1793521641150999,0.00023228803716614872,0.8199509717734016
YARN-3816,2,0.44307815133709294,2,0.0609339769794198,0.09285649532233678,0.44307815133709294,0.0728229495999564,0.33030842676119415
YARN-3815,4,0.695288016053741,2,0.00016934801016093936,0.00016934801016093936,0.12148254677952178,0.1828907411464152,0.695288016053741
YARN-3808,2,0.9387262458719838,1,0.0001784121320250175,0.0001784121320250175,0.9387262458719838,0.0001784121320250175,0.060738517731941055
YARN-3807,2,0.8858217671555503,1,0.0001218769043266671,0.0001218769043266671,0.8858217671555503,0.0001218769043266671,0.11381260213146979
YARN-3806,2,0.6404195718599608,2,0.18238283598130028,9.170105456214608e-05,0.6404195718599608,0.05576659786063877,0.12133929324353798
YARN-3773,0,0.800981974515574,2,0.800981974515574,0.0001693480101609332,0.0001693480101609332,0.0001693480101609332,0.1985099814539433
YARN-3772,2,0.513145758279645,3,0.0003120124804992898,0.29847958158302496,0.513145758279645,0.0003120124804992898,0.18775063517633142
YARN-3739,1,0.5900234312034722,2,0.0006644518272425663,0.5900234312034722,0.0006644518272425663,0.0006644518272425663,0.4079832133148001
YARN-3736,1,0.45491468547691816,3,0.000554016620498858,0.45491468547691816,0.000554016620498858,0.220867270612647,0.3231100106694372
YARN-3719,0,0.5339109650159635,2,0.5339109650159635,0.00035650623885928503,0.00035650623885928503,0.00035650623885928503,0.4650195162674586
YARN-3718,0,0.91025786735405,1,0.91025786735405,0.0001850138760407451,0.0001850138760407451,0.0001850138760407451,0.08918709101782792
YARN-3692,2,0.30650557539554274,4,0.0001693480101609264,0.1783260646993469,0.30650557539554274,0.2648269880245954,0.25017202387035403
YARN-3691,2,0.904282513237148,1,0.0004158004158005177,0.0944700855154503,0.904282513237148,0.0004158004158005177,0.0004158004158005177
YARN-3684,4,0.48342177046623513,2,0.08774847125817167,0.0002936857562409177,0.0002936857562409177,0.42824238676311144,0.48342177046623513
YARN-3680,2,0.44769277811524116,2,9.1701054562176e-05,0.33982467410744543,0.44769277811524116,0.1465571377166792,0.06583370900607197
YARN-3623,3,0.7269611083746514,2,0.0002699055330634736,0.0002699055330634736,0.0002699055330634736,0.7269611083746514,0.27222917502615807
YARN-3673,4,0.8902076509673046,1,0.0008298755186722642,0.10730272247667863,0.0008298755186722642,0.0008298755186722642,0.8902076509673046
YARN-3672,4,0.9975077881619935,1,0.0006230529595016307,0.0006230529595016307,0.0006230529595016307,0.0006230529595016307,0.9975077881619935
YARN-3671,4,0.8617997900648547,1,0.0008298755186723912,0.13571058337912814,0.0008298755186723912,0.0008298755186723912,0.8617997900648547
YARN-3666,4,0.5713074550933586,2,0.0002699055330635033,0.0002699055330635033,0.0002699055330635033,0.4278828283074509,0.5713074550933586
YARN-3665,4,0.6566119822531269,2,0.0005865102639298414,0.0005865102639298414,0.0005865102639298414,0.3416284869550836,0.6566119822531269
YARN-3664,3,0.42213509060832455,3,0.0006644518272426281,0.0006644518272426281,0.3228562147477403,0.42213509060832455,0.2536797909894499
YARN-3663,4,0.9966804979253111,1,0.0008298755186722325,0.0008298755186722325,0.0008298755186722325,0.0008298755186722325,0.9966804979253111
YARN-3662,4,0.6605083438486996,2,0.00036968576709805605,0.10039732421967683,0.00036968576709805605,0.2383549603974274,0.6605083438486996
YARN-3661,3,0.8408950604316062,2,0.0004987531172070464,0.0004987531172070464,0.0004987531172070464,0.8408950604316062,0.15760868021677268
YARN-3660,3,0.4867722520123428,3,0.00033277870216325646,0.06012148774272442,0.2717260828920141,0.4867722520123428,0.18104739865075545
YARN-3659,1,0.5841959754560946,2,0.0005865102639297132,0.5841959754560946,0.0005865102639297132,0.0005865102639297132,0.41404449375211616
YARN-3656,2,0.5690819762991078,2,0.39558216649094163,0.00020387359836908592,0.5690819762991078,0.00020387359836908592,0.03492811001321228
YARN-3637,2,0.4717326092957077,2,0.00015140045420141484,0.052930472221461806,0.4717326092957077,0.34339549164204763,0.1317900263865814
YARN-3636,3,0.46595183859935757,3,8.768084173610871e-05,0.2203098307829839,0.13465308388655936,0.46595183859935757,0.17899756588936314
YARN-3632,2,0.7352146269627867,2,0.00041580041580047936,0.08645779036887363,0.7352146269627867,0.00041580041580047936,0.17749598183673862
YARN-3622,0,0.3905463000638507,3,0.3905463000638507,0.3817585414832165,0.0009950248756222843,0.22570510870168833,0.0009950248756222843
YARN-3616,1,0.5203501699665191,3,0.00024360535931800857,0.5203501699665191,0.2421527614753948,0.00024360535931800857,0.23700985783945003
YARN-3611,0,0.6420948432281877,2,0.6420948432281877,0.2083320623393211,0.1055945229966209,0.04388058025507654,9.79911807937748e-05
YARN-3595,4,0.44632345013302727,3,0.1045606298109744,8.845643520571171e-05,0.20703629620525732,0.24199116741553534,0.44632345013302727
YARN-3588,4,0.32614028413497803,3,0.2267888996738502,0.00039920159680655075,0.29783286445111584,0.14883875014324938,0.32614028413497803
YARN-3557,0,0.42527244379827234,2,0.42527244379827234,0.0002560819462228676,0.3562095657521282,0.07985941432354678,0.13840249417982972
YARN-3542,0,0.9045162188097736,1,0.9045162188097736,0.0004535147392291251,0.0941232369725389,0.0004535147392291251,0.0004535147392291251
YARN-3534,2,0.9264935757845455,1,0.0005249343832022618,0.0005249343832022618,0.9264935757845455,0.07193162106584765,0.0005249343832022618
YARN-3510,2,0.7457648196517395,2,0.0002936857562409334,0.08571321472037086,0.7457648196517395,0.0002936857562409334,0.16793459411540765
YARN-3508,2,0.6150810301607256,2,0.0003327787021632304,0.0003327787021632304,0.6150810301607256,0.0003327787021632304,0.38392063373278457
YARN-3500,3,0.5077063279335465,2,0.00036968576709804667,0.00036968576709804667,0.4911846147651593,0.5077063279335465,0.00036968576709804667
YARN-3499,3,0.5168622766653006,2,0.00043383947939272944,0.00043383947939272944,0.4818362048965212,0.5168622766653006,0.00043383947939272944
YARN-3490,0,0.5877050174668865,2,0.5877050174668865,0.00020387359836907188,0.2755273099705876,0.04650203097213352,0.09006176799202313
YARN-3488,4,0.5372999679694588,3,0.00014695077149159806,0.00014695077149159806,0.20851201889030832,0.2538941115972498,0.5372999679694588
YARN-3482,2,0.3762316720099345,3,0.00036968576709805236,0.3232879660002005,0.3762316720099345,0.00036968576709805236,0.2997409904556689
YARN-3481,1,0.5113234003910948,2,0.00035650623885922925,0.5113234003910948,0.4876070808923274,0.00035650623885922925,0.00035650623885922925
YARN-3474,1,0.5682336562230258,2,0.00011897679952414529,0.5682336562230258,0.1479989131059646,0.08093660756914127,0.20271184630234423
YARN-3448,3,0.4294000496717456,2,0.12397191144753032,0.05156163009949938,0.3949787279394885,0.4294000496717456,8.768084173613266e-05
YARN-3445,1,0.47580953346830623,3,0.0003220611916264694,0.47580953346830623,0.0003220611916264694,0.18166355314407667,0.34188279100436414
YARN-3443,0,0.5777001004575613,2,0.5777001004575613,0.051066792485991934,0.12365645453989353,0.16694911935424037,0.08062753316231278
YARN-3440,4,0.47429516861719245,2,0.00041580041580050646,0.00041580041580050646,0.44595842425391424,0.07891480629729229,0.47429516861719245
YARN-3418,4,0.5329537221801363,2,0.00020387359836912587,0.3911664395700313,0.00020387359836912587,0.07547209105309416,0.5329537221801363
YARN-3417,1,0.566773297222896,2,0.05574459359136603,0.566773297222896,0.13219440936985766,0.17153107852498026,0.07375662129090009
YARN-3411,4,0.7282607512074546,2,0.2221851937088887,0.00024968789013745735,0.04905467930338186,0.00024968789013745735,0.7282607512074546
YARN-3402,3,0.5503789577220928,2,0.0003992015968065228,0.0003992015968065228,0.0003992015968065228,0.5503789577220928,0.4484234374874877
YARN-3401,3,0.42153621464611757,3,0.000269905533063492,0.000269905533063492,0.34622237472591094,0.42153621464611757,0.2317015995618446
YARN-3391,4,0.5883085928586834,2,0.0002125398512221877,0.0002125398512221877,0.0002125398512221877,0.41105378758765004,0.5883085928586834
YARN-3378,2,0.5308822333058999,3,0.24441666671594373,0.00038387715930912424,0.5308822333058999,0.22393334565953807,0.00038387715930912424
YARN-3374,4,0.5938253484547317,2,0.0004535147392291257,0.31926222330637893,0.0004535147392291257,0.08600539876043131,0.5938253484547317
YARN-3373,4,0.35390353700064214,3,0.18331094073577003,0.000332778702163223,0.32369728826579924,0.1387554552956255,0.35390353700064214
YARN-3372,4,0.32548440133392403,4,0.00017841213202507292,0.23581933639455022,0.20921214703428184,0.22930570310521883,0.32548440133392403
YARN-3368,0,0.5091667690473138,3,0.5091667690473138,0.00031201248049943345,0.00031201248049943345,0.2217342229225275,0.2684749830691596
YARN-3366,0,0.773258079769985,2,0.773258079769985,0.00043383947939271963,0.22544040179183672,0.00043383947939271963,0.00043383947939271963
YARN-3365,0,0.5282505283595318,2,0.5282505283595318,0.0003442340791738874,0.0003442340791738874,0.0003442340791738874,0.47071676940294654
YARN-3361,4,0.649015541908985,2,0.00018501387604072137,0.00018501387604072137,0.3504294164628929,0.00018501387604072137,0.649015541908985
YARN-3354,1,0.6133282903563851,2,0.00018165304268849173,0.6133282903563851,0.11003600898832787,0.00018165304268849173,0.2762723945699101
YARN-3345,4,0.9975077881619933,1,0.0006230529595016869,0.0006230529595016869,0.0006230529595016869,0.0006230529595016869,0.9975077881619933
YARN-3332,2,0.6302710763633131,2,0.07208381072909072,0.00021715526601532014,0.6302710763633131,0.05035066473401139,0.24707729290756933
YARN-3319,2,0.8683877608857076,1,0.00019588638589624312,0.00019588638589624312,0.8683877608857076,0.02427110738839107,0.1069493589541089
YARN-3318,1,0.3405654686593496,3,0.32707253991036983,0.3405654686593496,0.0012422360248448433,0.0012422360248448433,0.3298775193805908
YARN-3317,4,0.9983367983367978,1,0.0004158004158005504,0.0004158004158005504,0.0004158004158005504,0.0004158004158005504,0.9983367983367978
YARN-3307,2,0.6217521661393285,2,0.0004987531172071226,0.3767515745090501,0.6217521661393285,0.0004987531172071226,0.0004987531172071226
YARN-3306,2,0.48614181117931166,2,0.13910123816284484,0.00016380016380022729,0.48614181117931166,0.059141250604456484,0.3154518998895868
YARN-3299,4,0.586299771785966,2,0.000262812089356167,0.11972808954223252,0.000262812089356167,0.2934465144930891,0.586299771785966
YARN-3250,4,0.8800626712339731,1,0.0004987531172070357,0.0004987531172070357,0.11844106941440585,0.0004987531172070357,0.8800626712339731
YARN-3245,1,0.6814294731999644,2,0.00028530670470759993,0.6814294731999644,0.31771460668591295,0.00028530670470759993,0.00028530670470759993
YARN-3212,1,0.8364025299831687,2,0.00026281208935617027,0.8364025299831687,0.00026281208935617027,0.00026281208935617027,0.16280903374876263
YARN-3242,3,0.7118556971905261,2,0.0001469507714915786,0.287703450494999,0.0001469507714915786,0.7118556971905261,0.0001469507714915786
YARN-3235,4,0.9868852459016391,1,0.003278688524590226,0.003278688524590226,0.003278688524590226,0.003278688524590226,0.9868852459016391
YARN-3233,4,0.7354723186262944,1,0.0009049773755658526,0.0009049773755658526,0.14451173626851702,0.11820599035405689,0.7354723186262944
YARN-3228,2,0.5945185469864265,3,0.0004158004158008836,0.19886168363933562,0.5945185469864265,0.0004158004158008836,0.20578816854263607
YARN-3214,2,0.6305046753075612,2,0.00021253985122213087,0.00021253985122213087,0.6305046753075612,0.00021253985122213087,0.3688577051387725
YARN-3208,3,0.712112016594819,2,0.000711743772242146,0.2857527520884546,0.000711743772242146,0.712112016594819,0.000711743772242146
